date,fuel_type,pump_price,duty_rate,vat_rate
2003-06-09,diesel,76.77,45.82,17.5
2003-06-09,petrol,74.59,45.82,17.5
2003-06-16,diesel,76.69,45.82,17.5
2003-06-16,petrol,74.47,45.82,17.5
2003-06-23,diesel,76.62,45.82,17.5
2003-06-23,petrol,74.42,45.82,17.5
2003-06-30,diesel,76.51,45.82,17.5
2003-06-30,petrol,74.35,45.82,17.5
2003-07-07,diesel,76.46,45.82,17.5
2003-07-07,petrol,74.28,45.82,17.5
2003-07-14,diesel,76.41,45.82,17.5
2003-07-14,petrol,74.21,45.82,17.5
2003-07-21,diesel,76.9,45.82,17.5
2003-07-21,petrol,75.07,45.82,17.5
2003-07-28,diesel,76.86,45.82,17.5
2003-07-28,petrol,75.1,45.82,17.5
2003-08-04,diesel,76.81,45.82,17.5
2003-08-04,petrol,75.12,45.82,17.5
2003-08-11,diesel,77.08,45.82,17.5
2003-08-11,petrol,75.44,45.82,17.5
2003-08-18,diesel,77.44,45.82,17.5
2003-08-18,petrol,75.81,45.82,17.5
2003-08-26,diesel,77.68,45.82,17.5
2003-08-26,petrol,76.05,45.82,17.5
2003-09-01,diesel,77.59,45.82,17.5
2003-09-01,petrol,76.13,45.82,17.5
2003-09-08,diesel,77.67,45.82,17.5
2003-09-08,petrol,76.23,45.82,17.5
2003-09-15,diesel,77.63,45.82,17.5
2003-09-15,petrol,76.2,45.82,17.5
2003-09-22,diesel,77.55,45.82,17.5
2003-09-22,petrol,76.15,45.82,17.5
2003-09-29,diesel,77.53,45.82,17.5
2003-09-29,petrol,76.08,45.82,17.5
2003-10-06,diesel,77.66,47.1,17.5
2003-10-06,petrol,76.43,47.1,17.5
2003-10-13,diesel,77.43,47.1,17.5
2003-10-13,petrol,75.9,47.1,17.5
2003-10-20,diesel,77.54,47.1,17.5
2003-10-20,petrol,76.05,47.1,17.5
2003-10-27,diesel,77.51,47.1,17.5
2003-10-27,petrol,76.0,47.1,17.5
2003-11-03,diesel,77.52,47.1,17.5
2003-11-03,petrol,76.0,47.1,17.5
2003-11-10,diesel,77.47,47.1,17.5
2003-11-10,petrol,75.94,47.1,17.5
2003-11-17,diesel,77.52,47.1,17.5
2003-11-17,petrol,75.93,47.1,17.5
2003-11-24,diesel,77.67,47.1,17.5
2003-11-24,petrol,76.02,47.1,17.5
2003-12-01,diesel,77.66,47.1,17.5
2003-12-01,petrol,76.0,47.1,17.5
2003-12-08,diesel,77.63,47.1,17.5
